Position,Track Name,Artist,date,region,id
23,Seasons (with Sjava & Reason),Mozzy,2/15/2018,ar,35cOyocq8Gb6UcT0NWeTwn
24,Opps (with Yugen Blakrok),Vince Staples,2/15/2018,ar,7bUcBztfGqO7cSI2gMZeCI
25,Esperándote,Manuel Turizo,2/15/2018,ar,1nfyE13arjOuO54HH0zmqj
26,Envolvimento,MC Loma e As Gêmeas Lacração,2/15/2018,ar,1Wolb8MRcXR2IMMaELTRpE
27,Never Tear Us Apart,Bishop Briggs,2/15/2018,ar,0gCUCcO60ViO5H51y4lDkS
28,Échame La Culpa,Luis Fonsi,2/15/2018,ar,1zsG4eaZmkA1dvjDDsAGLK
29,Ahora Se - Remix,Menor Menor,2/15/2018,ar,6NsumGzxhtodhH48pcLpwz
30,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,2/15/2018,ar,3TnhQSRwT3AVMdXw5JPq0x
31,Solita,Ozuna,2/15/2018,ar,7rwX0O3RlxqqIjQM8evm5E
32,Me and Michael,MGMT,2/15/2018,ar,0t4z0WaQomQqPONghWn8c2
33,Amantes de una Noche,Natti Natasha,2/15/2018,ar,2iCOdoyDmWG3hWkbtH1KB2
34,Tonta,R.K.M & Ken-Y,2/15/2018,ar,5ZjJT7BB8OoVjyRZRYGen8
35,Pray For Me (with Kendrick Lamar),The Weeknd,2/15/2018,ar,4ofvoCdXq99vpMZO4Cfp8x
36,Bum Bum Tam Tam,MC Fioti,2/15/2018,ar,4zWO4gvuFtw6EJZC5FFGlr
37,4:00 AM,Trueno,2/15/2018,ar,2rN6ZDtVTPflMgfJdehkKO
38,Machika,J Balvin,2/15/2018,ar,6MNGxu8MprKGkchUchkJsy
39,Duro y Suave,Leslie Grace,2/15/2018,ar,31M5m42C3EGlbydf9XB5to
40,El Farsante - Remix,Ozuna,2/15/2018,ar,7uYgVgRSgqluZclLS7wpp4
41,No Hay Nadie Más,Sebastian Yatra,2/15/2018,ar,6wos8Ds5FKMe33GjBHRake
42,FRIENDS,Marshmello,2/15/2018,ar,08bNPGLD8AhKpnnERrAc6G
43,Un Poco Loco,Luis Ángel Gómez Jaramillo,2/15/2018,ar,65vseJi4kug0grGTTSmH2u
44,Déjate Llevar,Juan Magán,2/15/2018,ar,3xWEI23MLJrD0dpDcDUTW6
45,Quiero Repetir,Ozuna,2/15/2018,ar,0MIcPSq9n2z5H8TAfEstri
46,Downtown,Anitta,2/15/2018,ar,3Ga6eKrUFf12ouh9Yw3v2D
47,BOOM,Ofi La Melodia,2/15/2018,ar,6sQU3wCAsVtsj3H6CtOTVa
48,Ocean Eyes,Jay Cosmic,2/15/2018,ar,6pl8H6GouluAEQfj2R5cc7
49,Dollars,Jado Pvg,2/15/2018,ar,498xUFdgQNr9Ez9khCynw5
50,Menos Vos,Neo Pistea,2/15/2018,ar,0W3Dr0QiCTcXC8wh8vmndz
1,Tell Me You Love Me - Spanish Version,Demi Lovato,3/15/2018,ar,2scOpCkXHdjx5Pba0T1S68
2,Nada De Nada (feat. Klave),Coscu,3/15/2018,ar,32YfGlvAi0vVlqzUAwH1gD
3,X,Nicky Jam,3/15/2018,ar,39N9RPD9MRb5WmoLzNzPeA
4,Instagram,Javi Ayul,3/15/2018,ar,5GIbiCKMZXhOtSDOZg256z
5,Dura,Daddy Yankee,3/15/2018,ar,2j2fIJGh4PMdXt9ULI5Tlc
6,Amorfoda,Bad Bunny,3/15/2018,ar,3ITvHA9zhZZdBJsOsAUegF
7,Me Niego,Reik,3/15/2018,ar,6jA8JUuPCGYjFcgw0AoM5T
8,Lo Intentamos,La Poderosa Sonora Master,3/15/2018,ar,4i0OwlMfHUKmoJAOBLnqPY
9,El Préstamo,Maluma,3/15/2018,ar,0QS5rZpm5zN9wV9lJgjyUE
10,Mor,Ami Rodriguezz,3/15/2018,ar,0HGoUFjnLX2YuFXxcopZdR
11,Solita (Remix),ZetaDJ,3/15/2018,ar,2BV1fEnwXeGIhvEe0mvjZR
12,Montañas Aquietadas,Aloe,3/15/2018,ar,3HMCyGO2KRoS6mSN0HDbHI
13,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,3/15/2018,ar,4QtiVmuA88tPQiCOHZuQ5b
14,Zombie,Bad Wolves,3/15/2018,ar,1vNoA9F5ASnlBISFekDmg3
15,Nadie ha dicho (feat. Gente de Zona),Laura Pausini,3/15/2018,ar,0HGrhbUerQKu89GCy3zmlY
16,My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist,Cecilia Krull,3/15/2018,ar,5ZEQjTroORCu6uWvZrdeNc
17,My Life,ZHU,3/15/2018,ar,2NDZ6i6UfOUSKgFiTQKbnv
18,Simples Corazones,Fonseca,3/15/2018,ar,6SVEw266UzbkAKfCLeBPGy
1,Ando Buscando,Agustín Casanova,5/15/2018,ar,24k4QxSAavX21LJbKnKhJI
2,This Is America,Childish Gambino,5/15/2018,ar,0b9oOr2ZgvyQu88wzixux9
3,Te Boté - Remix,Nio Garcia,5/15/2018,ar,3V8UKqhEK5zBkBb6d6ub8i
4,Dime,Kaydy Cain,5/15/2018,ar,6vugxjHQaCwzJ9XxRpslVE
5,Bella ciao - HUGEL Remix,El Profesor,5/15/2018,ar,2dQzfKRaMKUCQgMpOtpLTh
6,Dimelo,Paulo Londra,5/15/2018,ar,3uwehoqKSQLa5lFFvIX6M3
7,Four Out Of Five,Arctic Monkeys,5/15/2018,ar,5Z5nbOXhsSbySVC7WUc6y9
8,Traeme la Copa Messi,Colo Céspedes,5/15/2018,ar,1Qh2p0wlqE3oSIY0nCvRYK
9,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,5/15/2018,ar,4hQ6UGyWQIGJmHSo0J88JW
10,Municipálida,Perras on the beach,5/15/2018,ar,1HykgHDaouPGNl08NeMv7E
11,Q.E.P.D,Wolty,5/15/2018,ar,0VaGR19qdoi0tf2EbTY3yN
12,Star Treatment,Arctic Monkeys,5/15/2018,ar,0b93tWwuoAC0nXe1CfR30I
13,D.R.A.M.A,Midel,5/15/2018,ar,45tZh0QWAhOXjV24p8iu7H
14,Tranquility Base Hotel & Casino,Arctic Monkeys,5/15/2018,ar,2URDbWGmPz3vhagl25p8OC
15,The Ultracheese,Arctic Monkeys,5/15/2018,ar,3PhbzvTllkq1rkULafc6ns
16,New Light,John Mayer,5/15/2018,ar,3bH4HzoZZFq8UpZmI2AMgV
17,Tuca,Perras on the beach,5/15/2018,ar,0kMQkMtg1l6IJmSdkDfo2l
18,One Point Perspective,Arctic Monkeys,5/15/2018,ar,1t67WYNfUxfOiwaz7SJ66b
19,Dura - Remix,Daddy Yankee,5/15/2018,ar,6U2NuJILEOEpW2tVCuqKHb
20,Pesadilla,Perras on the beach,5/15/2018,ar,5mh9HEpSuOl0ahjsPdoEZ2
21,Messi,Neo Pistea,5/15/2018,ar,3wcTpbJfzaQ3MHt22ZJgqm
22,LATATA,(G)I-DLE,5/15/2018,ar,2ezKXygNO30pXyDQXkm6oD
23,Toy,Netta,5/15/2018,ar,7vuTcvFnvlqWlWb4u60nvY
24,Las Ideas,Perras on the beach,5/15/2018,ar,0AaI5Zlch92gdfZnUyhiM0
25,Yeah Right,Joji,5/15/2018,ar,2815rSBccLxZc67jEWBEvD
26,X,Nicky Jam,5/15/2018,ar,39N9RPD9MRb5WmoLzNzPeA
27,Piso,Mueva Records,5/15/2018,ar,42Lf4QlvHCXrIZOPuUOeGC
28,La Vida Sin Ti,Piso 21,5/15/2018,ar,1RvL7eHoeUolnQbWm2Hnba
29,Caterpillar (feat. Eminem & King Green),"Royce Da 5'9""",5/15/2018,ar,70lVHIHJE2tUXH7FxNOz3z
30,Sangucci,Perras on the beach,5/15/2018,ar,630ISbyKVzuI74X61tsst8
31,Bella - Remix,Wolfine,5/15/2018,ar,0SaYeGhSXN0dDWstyNTQ56
32,"Fea, Pero Te Quiero",Fernando Alvarez,5/15/2018,ar,1eZqpVKXeioGYIH4gHDU3n
33,Los Chicos No Entienden,El Zar,5/15/2018,ar,2S65RiYWbg7APcIkkP3RPm
34,El Clavo - Remix,Prince Royce,5/15/2018,ar,6bI00brFpeprqCDqKouEJS
35,Wait (Featuring Offset & Vory),Chantel Jeffries,5/15/2018,ar,50phRe11Y2nC2N968jVU53
36,Rola,Bassico,5/15/2018,ar,1j7pFNSFeM8pf7ezJ0u0lM
37,Me Niego,Reik,5/15/2018,ar,6jA8JUuPCGYjFcgw0AoM5T
38,Estoy de Vuelta,Juanse,5/15/2018,ar,5lCgCmQ5S65XHs89JRRonQ
39,La Nube,La Vela Puerca,5/15/2018,ar,4WIqi4ynEdOpdSvqJ3imF3
40,Fuego,Eleni Foureira,5/15/2018,ar,22ppznuzVF9LKamaaqMMqu
41,En La Cima,Jado Pvg,5/15/2018,ar,0gaGGc6PhaYmjnnY2Wrogi
42,Clearly - Acoustic Version,Limbo,5/15/2018,ar,68C1qOMGgz0VFrSbuftyRh
43,Happy Man,Jungle,5/15/2018,ar,11xRCe6bPQ9fRhz70dqF9N
44,Secreto Paraíso,Emanero,5/15/2018,ar,6jk1GDtxoHQQsFH2ScI5Bd
45,Golden Trunks,Arctic Monkeys,5/15/2018,ar,0U6Vg6RUmzADUO0Y9fVKft
46,Lucid Dreams,Juice WRLD,5/15/2018,ar,32iYwQ4OYiurnGnOfJ1aEh
47,Lo Siento,SUPER JUNIOR,5/15/2018,ar,2VVqxQhALecXvaArlZSVXr
48,Ngue,Tototomas,5/15/2018,ar,0iyFxdFqISbD3yhvknJbwO
49,Katana,Magnus Mefisto,5/15/2018,ar,3NVZH6Gj6p0MYdmzWga05t
50,Marinero,Maluma,5/15/2018,ar,0IEUbDOzcwi6Ju1ZAJ23rk
1,Reborn,KIDS SEE GHOSTS,6/15/2018,ar,4RVbK6cV0VqWdpCDcx3hiT
2,Karma,Sky,6/15/2018,ar,14WIiWOJXL5VkX1zpt87Ed
3,Te Boté - Remix,Nio Garcia,6/15/2018,ar,3V8UKqhEK5zBkBb6d6ub8i
4,Tal vez,Tygas,6/15/2018,ar,7L0JrNlkH8FCVRkgYyZBYI
5,Y Dale Alegría a Mi Corazón,Lali,6/15/2018,ar,4LI3XE2CwsxrKdzDBezyoB
6,Clandestino,Shakira,6/15/2018,ar,7DrluKkTviBwCc8AV3VGmf
7,Bufón,Lit Killah,6/15/2018,ar,6ovp1nCwIAOSMotiCF7pjk
8,Feel The Love,KIDS SEE GHOSTS,6/15/2018,ar,3aUFrxO1B8EW63QchEl3wX
