Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
28,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2275,1/6/2017,bo,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,,,,,,
35,Andas En Mi Cabeza,Chino & Nacho,2275,3/3/2017,bo,5mey7CLLuFToM2P68Qu1gF,spotify:track:5mey7CLLuFToM2P68Qu1gF,,,,,,
55,Diabla - Official Remix,Farruko,2275,5/12/2017,pa,2OxUtaKYeahAGNaBiahXtR,spotify:track:2OxUtaKYeahAGNaBiahXtR,,,,,,
120,La Gozadera,Gente De Zona,2274,5/12/2017,ec,0OMRAvrtLWE2TvcXorRiB9,spotify:track:0OMRAvrtLWE2TvcXorRiB9,,,,,,
161,Bum Bum Tam Tam,MC Fioti,2274,11/24/2017,ec,7KBfjlQ85Fqs2MCCvXSW0c,spotify:track:7KBfjlQ85Fqs2MCCvXSW0c,,,,,,
59,Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,2274,10/27/2017,pa,3iDPALl8BoUbuXZgy6EOWY,spotify:track:3iDPALl8BoUbuXZgy6EOWY,,,,,,
195,Sun Comes Up (feat. James Arthur),Rudimental,2274,8/4/2017,pt,6SUocL0caib4mLHe8ZrZzi,spotify:track:6SUocL0caib4mLHe8ZrZzi,,,,,,
33,"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",Bad Bunny,2273,9/1/2017,sv,4UG962ViiLqoUyx0RjCcwP,spotify:track:4UG962ViiLqoUyx0RjCcwP,,,,,,
11,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2273,7/7/2017,ee,1OAh8uOEOvTDqkKFsKksCi,spotify:track:1OAh8uOEOvTDqkKFsKksCi,,,,,,
22,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2273,11/24/2017,gr,5AEtlRudpgdT5FtNiuly6Y,spotify:track:5AEtlRudpgdT5FtNiuly6Y,,,,,,
65,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,2273,11/24/2017,hu,0OI7AFifLSoGzpb8bdBLLV,spotify:track:0OI7AFifLSoGzpb8bdBLLV,,,,,,
186,Why Don't You Come On,DJDS,2272,9/1/2017,at,1zOrNX2Rp00WGJzNJUfj0V,spotify:track:1zOrNX2Rp00WGJzNJUfj0V,,,,,,
53,Una Lady Como Tú,Manuel Turizo,2272,6/9/2017,pa,7MHN1aCFtLXjownGhvEQlF,spotify:track:7MHN1aCFtLXjownGhvEQlF,,,,,,
88,Congratulations,Post Malone,2271,9/1/2017,cz,3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,,,,,,
121,Stressed Out,Twenty One Pilots,2271,5/12/2017,ec,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,,,,,,
29,Scared to Be Lonely,Martin Garrix,2271,5/12/2017,sv,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,,,,,,
52,Caile (feat. Zion & De La Ghetto),Revol,2271,2/3/2017,pa,626rYyBfeAeleh1F5t4B70,spotify:track:626rYyBfeAeleh1F5t4B70,,,,,,
61,Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,2271,11/24/2017,pa,3iDPALl8BoUbuXZgy6EOWY,spotify:track:3iDPALl8BoUbuXZgy6EOWY,,,,,,
149,Two Princes - Radio Mix,Fake Pictures,2270,3/3/2017,at,1iTKkkgXj8kJkGdjGGBFqL,spotify:track:1iTKkkgXj8kJkGdjGGBFqL,,,,,,
153,Hear Me Now,Alok,2270,5/12/2017,at,1a5Yu5L18qNxVhXx38njON,spotify:track:1a5Yu5L18qNxVhXx38njON,,,,,,
197,Caraluna,Bacilos,2270,3/3/2017,cr,7DhYjNLksXZhbRQeheAums,spotify:track:7DhYjNLksXZhbRQeheAums,,,,,,
122,Don't Let Me Down,The Chainsmokers,2270,5/12/2017,ec,0QsvXIfqM0zZoerQfsI9lm,spotify:track:0QsvXIfqM0zZoerQfsI9lm,,,,,,
42,Báilame,Nacho,2270,9/1/2017,hn,7lRsNbdOGykkMAgsqs4R1C,spotify:track:7lRsNbdOGykkMAgsqs4R1C,,,,,,
177,Alarm,Anne-Marie,2270,1/6/2017,pt,0OwX5aROoW1Iip8FV51Efg,spotify:track:0OwX5aROoW1Iip8FV51Efg,,,,,,
69,Ando buscando (feat. Piso 21),Carlos Baute,2270,6/9/2017,uy,7BwJtE8KSbCQKOCTIAY3jX,spotify:track:7BwJtE8KSbCQKOCTIAY3jX,,,,,,
2,Despacito - Remix,Luis Fonsi,2269,5/12/2017,bg,5CtI0qwDJkDQGwXD1H1cLb,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,,,,,,
62,Traicionera - Remix,Sebastian Yatra,2269,3/3/2017,gt,2webQDZmtGioeu3zUUi9We,spotify:track:2webQDZmtGioeu3zUUi9We,,,,,,
72,Gaucho Power,El Cuarteto De Nos,2269,5/12/2017,uy,5wNZtFOmq64IAq7tKkIv8d,spotify:track:5wNZtFOmq64IAq7tKkIv8d,,,,,,
72,Díganle,Leslie Grace,2269,10/27/2017,uy,4C1opPFRPafp6yj4AJPBRB,spotify:track:4C1opPFRPafp6yj4AJPBRB,,,,,,
145,Lost On You,Lewis Capaldi,2268,7/7/2017,at,35LwnXpLMRb2kShTHmtPJ5,spotify:track:35LwnXpLMRb2kShTHmtPJ5,,,,,,
55,La Formula (feat. Chris Jeday),De La Ghetto,2268,11/24/2017,bo,4XCQtUoRSh22Ep18ULmDnT,spotify:track:4XCQtUoRSh22Ep18ULmDnT,,,,,,
3,Castle on the Hill,Ed Sheeran,2268,3/3/2017,bg,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,,,,,,
43,Se Preparó,Ozuna,2268,9/1/2017,hn,1m69ELEgE6k5ZWsap40ozt,spotify:track:1m69ELEgE6k5ZWsap40ozt,,,,,,
53,Explícale,Yandel,2267,9/1/2017,bo,48yAM9xWBwT4Ac9G1y20rw,spotify:track:48yAM9xWBwT4Ac9G1y20rw,,,,,,
74,Selfish (feat. Rihanna),Future,2267,5/12/2017,cz,2Ce5IyMlVRVvN997ZJjJJA,spotify:track:2Ce5IyMlVRVvN997ZJjJJA,,,,,,
35,That's What I Like,Bruno Mars,2267,3/3/2017,is,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,,,,,,
61,Ahora Me Llama,Karol G,2267,7/7/2017,uy,61HHDBLqF3AmSvLfHKNGd2,spotify:track:61HHDBLqF3AmSvLfHKNGd2,,,,,,
69,Me Gustas,Kevin Roldan,2266,7/7/2017,gt,2d8rQXA25Yk5ZE3XW1eTXs,spotify:track:2d8rQXA25Yk5ZE3XW1eTXs,,,,,,
196,Vai Embrazando,Mc Zaac,2265,8/4/2017,pt,1zhfU6YXa2pXUAQdG1NvBZ,spotify:track:1zhfU6YXa2pXUAQdG1NvBZ,,,,,,
191,En La Intimidad,Ozuna,2264,5/12/2017,cr,0QetVR4wwvyiTezQeFNdeZ,spotify:track:0QetVR4wwvyiTezQeFNdeZ,,,,,,
22,Save Myself,Ed Sheeran,2264,3/3/2017,ee,6TIU9Ehmi6dMzZK73Ym4yj,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,,,,,,
