Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
191,Treat You Better,Shawn Mendes,19807,12/8/2017,ph,4Hf7WnR761jpxPr5D46Bcd,spotify:track:4Hf7WnR761jpxPr5D46Bcd,0.821,0.803,0.624,-4.105,0.246,0
114,"I Dont Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,19805,1/6/2017,ar,3NdDpSvN911VPGivFlV5d0,spotify:track:3NdDpSvN911VPGivFlV5d0,0.0862,0.451,0.735,-8.374,0.0585,1.30E-05
106,DUELE EL CORAZON,Enrique Iglesias,19804,5/12/2017,ar,6YZdkObH88npeKrrkb8Ggf,spotify:track:6YZdkObH88npeKrrkb8Ggf,0.846,0.904,0.724,-3.354,0.0966,0
75,Bank Account,21 Savage,19804,11/24/2017,dk,2fQrGHiQOvpL9UgPvtYy6G,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,0.376,0.346,0.884,-8.228,0.351,7.04E-06
137,Lingerie,Tedua,19803,7/7/2017,it,4INw5bY2hmzLmvrZ4eYXY8,spotify:track:4INw5bY2hmzLmvrZ4eYXY8,0.159,0.636,0.633,-7.774,0.0531,5.94E-05
8,Unforgettable,French Montana,19803,6/9/2017,pt,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733,0.769,0.726,-5.043,0.123,0.0101
2,Havana,Camila Cabello,19803,12/8/2017,pt,0ofbQMrRDsUaVKq2mGLEAb,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.418,0.517,0.768,-4.323,0.0312,3.80E-05
117,Baila,Agapornis,19802,3/3/2017,ar,3iS4VBJ3Bg1HyL3e6WNpgi,spotify:track:3iS4VBJ3Bg1HyL3e6WNpgi,0.96,0.838,0.796,-5.157,0.0574,0
19,Despacito (Featuring Daddy Yankee),Luis Fonsi,19801,7/7/2017,be,4aWmUDTfIPGksMNLV2rQP2,spotify:track:4aWmUDTfIPGksMNLV2rQP2,0.846,0.786,0.66,-4.757,0.17,0
104,Only Angel,Harry Styles,19801,5/12/2017,it,5Lbsc65org0b85kNsPkluY,spotify:track:5Lbsc65org0b85kNsPkluY,0.348,0.842,0.554,-4.113,0.0397,0
200,La Bicicleta,Carlos Vives,19801,11/24/2017,es,0sXvAOmXgjR2QUqLK1MltU,spotify:track:0sXvAOmXgjR2QUqLK1MltU,0.953,0.964,0.736,-2.147,0.129,2.32E-06
175,Skin,Rag'n'Bone Man,19800,2/3/2017,se,6y2Kaz9QI01XBKJ8mTb7Pf,spotify:track:6y2Kaz9QI01XBKJ8mTb7Pf,0.352,0.745,0.565,-7.733,0.31,0
45,Fresh Eyes,Andy Grammer,19799,3/3/2017,nz,4nMlau89VAjmV7agkl7OY3,spotify:track:4nMlau89VAjmV7agkl7OY3,0.861,0.544,0.822,-6.797,0.0332,2.40E-05
31,Fetish (feat. Gucci Mane),Selena Gomez,19797,8/4/2017,nz,0XLOf9LhyazPX9Ld8jPiUq,spotify:track:0XLOf9LhyazPX9Ld8jPiUq,0.305,0.61,0.708,-4.522,0.0574,4.45E-06
27,Only Angel,Harry Styles,19796,5/12/2017,pl,5Lbsc65org0b85kNsPkluY,spotify:track:5Lbsc65org0b85kNsPkluY,0.348,0.842,0.554,-4.113,0.0397,0
192,Secret Love Song,Little Mix,19795,12/8/2017,ph,4JIo8RztBbELr2gWJ5OGK6,spotify:track:4JIo8RztBbELr2gWJ5OGK6,0.131,0.642,0.534,-3.971,0.0504,0
184,Les princes,MZ,19794,3/3/2017,fr,79fzoZLfu1drrTyJwTWD6b,spotify:track:79fzoZLfu1drrTyJwTWD6b,0.353,0.694,0.734,-7.36,0.238,0
41,Cheap Thrills,Sia,19793,1/6/2017,id,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732,0.698,0.628,-5.608,0.105,0.00143
200,Lario,Lazza,19793,11/24/2017,it,0Rgi733bscb4I8FLsat1yQ,spotify:track:0Rgi733bscb4I8FLsat1yQ,0.566,0.52,0.788,-7.481,0.267,0.000198
25,Without You (feat. Sandro Cavazza),Avicii,19793,10/27/2017,pl,6WbADFqMvR8N5u0BvtsWQE,spotify:track:6WbADFqMvR8N5u0BvtsWQE,0.279,0.855,0.652,-4.832,0.0441,0
